Sala: 101 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Introdução À Física Nuclear E De Partículas , Administração , Radiobiologia , Física Aplicada À Biologia , Promoção Da Saúde I 
16:50:00 - 17:40:00 , , , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , , Educação Nutricional I , Fundamentos Filosófico E Sócio-Histór. Da Educação 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , Imunologia Básica , , , , 
18:50:00 - 19:35:00 , , , Teorias Da Arquitetura , , Imunologia Básica , Trabalho De Conclusão De Curso I , 
19:35:00 - 20:20:00 , , , Sistemas Estruturais Na Arquitetura Ii , , Imunologia Básica , Trabalho De Conclusão De Curso I , 
20:30:00 - 21:15:00 , , , Sistemas Estruturais Na Arquitetura Ii , , Imunologia Básica , Trabalho De Conclusão De Curso I , 
21:15:00 - 22:00:00 , , , , , , Trabalho De Conclusão De Curso I , 
Sala: Lab. , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , Estágio Em Educ. Inf. E Anos Ini. Do Ens. Fund Iii , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Bacteriologia Humana 
08:00:00 - 08:50:00 , , , , Estágio Em Educ. Inf. E Anos Ini. Do Ens. Fund Iii , Método Clínico Iii , Bacteriologia Humana , Bacteriologia Humana 
08:50:00 - 09:40:00 , , , , Estágio Em Educ. Inf. E Anos Ini. Do Ens. Fund Iii , Bacteriologia Humana , Bacteriologia Humana , Bacteriologia Humana 
10:00:00 - 10:50:00 , , , Imunologia , Imunologia , Determinantes Biológicos No Processo Saúde - Doença I , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Bacteriologia Humana 
10:50:00 - 11:40:00 , , , Imunologia , Imunologia , Determinantes Biológicos No Processo Saúde - Doença I , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Determinantes Biológicos No Processo Saúde - Doença I 
11:40:00 - 12:30:00 , , , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , 
13:10:00 - 14:00:00 , , , Farmácia Hospitalar , , , Bacteriologia Humana , Atenção Integral À Saúde Da Mulher E Da Criança I 
14:00:00 - 14:50:00 , , , Farmácia Hospitalar , Determinantes Biológicos No Processo Saúde - Doença I , Saúde Do Adulto E Do Idoso - Sistema Urinário , Bacteriologia Humana , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço 
14:50:00 - 15:40:00 , , , Farmácia Hospitalar , Determinantes Biológicos No Processo Saúde - Doença I , Determinantes Biológicos No Processo Saúde - Doença I , Bacteriologia Humana , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço 
16:00:00 - 16:50:00 , , , Farmácia Hospitalar , Determinantes Biológicos No Processo Saúde - Doença I , Determinantes Biológicos No Processo Saúde - Doença I , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço 
16:50:00 - 17:40:00 , , , Farmácia Hospitalar , Determinantes Biológicos No Processo Saúde - Doença I , Determinantes Biológicos No Processo Saúde - Doença I , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço 
17:40:00 - 18:30:00 , , , , Determinantes Biológicos No Processo Saúde - Doença I , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Trabalho De Conclusão De Curso Ii , Estágio Em Educ. Inf. E Anos Ini. Do Ens. Fund Iii , , , 
19:35:00 - 20:20:00 , , , Trabalho De Conclusão De Curso Ii , Estágio Em Educ. Inf. E Anos Ini. Do Ens. Fund Iii , , , 
20:30:00 - 21:15:00 , , , Trabalho De Conclusão De Curso Ii , , , , 
21:15:00 - 22:00:00 , , , Trabalho De Conclusão De Curso Ii , , , , 
Sala: 310 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Bacteriologia Humana , , , , 
14:50:00 - 15:40:00 , , , Bacteriologia Humana , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 101 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Educação Nutricional Ii , Biologia Parasitária , Nutrição Materno-Infantil E Do Adolescente Ii , Nutrição Materno-Infantil E Do Adolescente Ii , Epidemiologia 
08:50:00 - 09:40:00 , , , Fundamentos Filosófico E Sócio-Histór. Da Educação , Biologia Parasitária , Nutrição Materno-Infantil E Do Adolescente Ii , Nutrição Materno-Infantil E Do Adolescente Ii , História Da Arquitetura Ii 
10:00:00 - 10:50:00 , , , Educação Nutricional Ii , Patologia Geral , Nutrição Materno-Infantil E Do Adolescente Ii , Métodos Analíticos Em Biomedicina , Epidemiologia 
10:50:00 - 11:40:00 , , , Fundamentos Filosófico E Sócio-Histór. Da Educação , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Genética , , Epidemiologia 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Saúde, Família E Comunidade Iii , Patologia Geral , Saúde Do Adulto E Do Idoso - Sistema Urinário , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Métodos Analíticos Em Biomedicina 
14:50:00 - 15:40:00 , , , Saúde, Família E Comunidade Iii , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Atenção Integral À Saúde Da Mulher E Da Criança I 
16:00:00 - 16:50:00 , , , Saúde Do Adulto E Do Idoso - Sistema Urinário , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , , Saúde Do Adulto E Do Idoso - Sistema Urinário , Métodos Analíticos Em Biomedicina 
16:50:00 - 17:40:00 , , , Determinantes Biológicos No Processo Saúde - Doença I , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Métodos Analíticos Em Biomedicina 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Sistemas Estruturais Na Arquitetura Ii , , , Tópicos Especiais Em Teoria E Estética Da Arquitetura E Da Arte , 
19:35:00 - 20:20:00 , , , Imunologia Básica , , , Imunologia Básica , 
20:30:00 - 21:15:00 , , , Imunologia Básica , , , Imunologia Básica , 
21:15:00 - 22:00:00 , , , , , , Geografia Agrária I , 
Sala: 208 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Imunologia Básica , Bacteriologia Humana , Métodos Analíticos Em Biomedicina , Geografia Agrária I , História Da Arquitetura Ii 
08:50:00 - 09:40:00 , , , Educação Nutricional Ii , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Métodos Analíticos Em Biomedicina , Geografia Agrária I , Estágio Supervisionado Iii 
10:00:00 - 10:50:00 , , , Fundamentos Filosófico E Sócio-Histór. Da Educação , Fisiologia Humana E Biofísica , Métodos Analíticos Em Biomedicina , , História Da Arquitetura Ii 
10:50:00 - 11:40:00 , , , Química Ambiental Aplicada À Farmácia , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Atenção Integral À Saúde Da Mulher E Da Criança I , , História Da Arquitetura Ii 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Saúde Do Adulto E Do Idoso - Sistema Urinário , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Sistema Urinário , Atenção Integral À Saúde Da Mulher E Da Criança I 
14:50:00 - 15:40:00 , , , Saúde Do Adulto E Do Idoso - Sistema Urinário , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Saúde Do Adulto E Do Idoso - Sistema Urinário , Saúde Do Adulto E Do Idoso - Sistema Urinário , Atenção Integral À Saúde Da Mulher E Da Criança I 
16:00:00 - 16:50:00 , , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Bacteriologia Humana 
16:50:00 - 17:40:00 , , , , , , Saúde Do Adulto E Do Idoso - Sistema Urinário , Bacteriologia Humana 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Imunologia Básica , , , Imunologia Básica , 
19:35:00 - 20:20:00 , , , , , , Geografia Agrária I , 
20:30:00 - 21:15:00 , , , , , , Geografia Agrária I , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 105 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Biologia Molecular , Imunologia Básica , Saúde, Família E Comunidade Iii , Bacteriologia Humana , Fundamentos Teórico-Práticos Do Sistema Único De Saúde 
08:50:00 - 09:40:00 , , , Sistemas De Controle , Imunologia Básica , Sistemas De Controle , Bacteriologia Humana , Biologia Molecular 
10:00:00 - 10:50:00 , , , Imunologia Básica , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Determinantes Biológicos No Processo Saúde - Doença I , Bacteriologia Humana , Método Clínico Iii 
10:50:00 - 11:40:00 , , , Biologia Molecular , Imunologia , Determinantes Biológicos No Processo Saúde - Doença I , Bacteriologia Humana , Biologia Molecular 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , Bacteriologia Humana , Bacteriologia Humana , , , 
14:00:00 - 14:50:00 , , , Método Clínico Iii , Método Clínico Iii , Saúde, Família E Comunidade Iii , Determinantes Biológicos No Processo Saúde - Doença I , 
14:50:00 - 15:40:00 , , , Método Clínico Iii , Método Clínico Iii , Saúde, Família E Comunidade Iii , Determinantes Biológicos No Processo Saúde - Doença I , 
16:00:00 - 16:50:00 , , , Saúde, Família E Comunidade Iii , Determinantes Biológicos No Processo Saúde - Doença I , Saúde, Família E Comunidade Iii , Saúde, Família E Comunidade Iii , 
16:50:00 - 17:40:00 , , , , Determinantes Biológicos No Processo Saúde - Doença I , , Saúde, Família E Comunidade Iii , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 106 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , Saúde Do Adulto E Do Idoso - Sistema Urinário , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 107 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , , , 
08:50:00 - 09:40:00 , , , , , , , 
10:00:00 - 10:50:00 , , , , Estágio Em Educ. Inf. E Anos Ini. Do Ens. Fund Iii , , , 
10:50:00 - 11:40:00 , , , , , , , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 108 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Bacteriologia Humana , Atenção Integral À Saúde Da Mulher E Da Criança I , , Métodos Analíticos Em Biomedicina , Estágio Supervisionado Iii 
08:50:00 - 09:40:00 , , , Bacteriologia Humana , Saúde Do Adulto E Do Idoso - Sistema Urinário , , Métodos Analíticos Em Biomedicina , Método Clínico I 
10:00:00 - 10:50:00 , , , Química Ambiental Aplicada À Farmácia , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Genética , , Estágio Supervisionado Iii 
10:50:00 - 11:40:00 , , , Métodos Matemáticos Lineares , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Atenção Integral À Saúde Da Mulher E Da Criança I , , Estágio Supervisionado Iii 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Atenção Integral À Saúde Da Mulher E Da Criança I 
14:50:00 - 15:40:00 , , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Atenção Integral À Saúde Da Mulher E Da Criança I 
16:00:00 - 16:50:00 , , , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , , Saúde Do Adulto E Do Idoso - Sistema Urinário , Atenção Integral À Saúde Da Mulher E Da Criança I 
16:50:00 - 17:40:00 , , , , , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , Geografia Agrária I , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 109 , Prédio: CAD , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos , 
08:00:00 - 08:50:00 , , , Seminários Em Imunologia E Virologia , Biotecnologia Aplicada À Microbiologia , Genética , Saúde Do Adulto E Do Idoso - Sistema Urinário , Gestão E Empreendedorismo Em Biotecnologia 
08:50:00 - 09:40:00 , , , Seminários Em Imunologia E Virologia , Química Ambiental Aplicada À Farmácia , Genética , Virologia Em Saúde , Gestão E Empreendedorismo Em Biotecnologia 
10:00:00 - 10:50:00 , , , Bases Da Biotecnologia , Biotecnologia Aplicada À Microbiologia , Virologia Em Saúde , Virologia Em Saúde , Biotecnologia Aplicada À Microbiologia 
10:50:00 - 11:40:00 , , , Bases Da Biotecnologia , Gestão E Empreendedorismo Em Biotecnologia , Virologia Em Saúde , Virologia Em Saúde , Biotecnologia Aplicada À Microbiologia 
11:40:00 - 12:30:00 , , , , Saúde Do Adulto E Do Idoso - Sistema Urinário , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Biotecnologia Aplicada À Microbiologia 
13:10:00 - 14:00:00 , , , , Farmacologia I , , , Atenção Integral À Saúde Da Mulher E Da Criança I 
14:00:00 - 14:50:00 , , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Farmacologia I , Virologia Em Saúde , Genética , Metodologia Qualitativa Em Saúde - Procedimentos Do Trabalho De Campo 
14:50:00 - 15:40:00 , , , Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço , Nutrição Materno-Infantil E Do Adolescente Ii , Virologia Em Saúde , Genética , Metodologia Qualitativa Em Saúde - Procedimentos Do Trabalho De Campo 
16:00:00 - 16:50:00 , , , Bases Da Biotecnologia , Nutrição Materno-Infantil E Do Adolescente Ii , Genética , Genética , Metodologia Qualitativa Em Saúde - Procedimentos Do Trabalho De Campo 
16:50:00 - 17:40:00 , , , Bases Da Biotecnologia , Nutrição Materno-Infantil E Do Adolescente Ii , Saúde Do Adulto E Do Idoso - Sistema Urinário , Nutrição Em Saúde Pública Ii , Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Dibujo Del Paisaje Urbano , Salvaguarda Patrim. Ii - Cons Prev Segurança , , Farmacologia Ii , 
19:35:00 - 20:20:00 , , , , Salvaguarda Patrim. Ii - Cons Prev Segurança , , Farmacologia Ii , 
20:30:00 - 21:15:00 , , , , Salvaguarda Patrim. Ii - Cons Prev Segurança , , Farmacologia Ii , 
